Classe,x,y,z
0,0.0967442,0.67852,0.824735
0,0.107396,0.76695,0.839067
0,0.0708995,0.789506,0.877399
0,0.113618,0.74987,0.812123
0,0.0625003,0.725772,0.801421
0,0.127348,0.80583,0.735818
0,0.0685953,0.788132,0.81456
0,0.0818266,0.725633,0.845736
0,0.0976951,0.735414,0.745589
0,0.182263,0.738585,0.792689
0,0.0999619,0.800839,0.823634
0,0.157469,0.784571,0.890331
0,0.109784,0.766148,0.857346
0,0.140551,0.766127,0.828
0,0.0383626,0.726205,0.810775
0,0.169657,0.7673,0.858208
0,0.098363,0.773147,0.877251
0,0.10796,0.807776,0.873746
0,0.024557,0.69432,0.790559
0,0.146736,0.754655,0.767841
0,0.144925,0.693371,0.889074
0,0.03632,0.689306,0.805259
0,0.130919,0.786805,0.793519
0,0.0980176,0.761869,0.82996
0,0.0232691,0.758705,0.843295
0,0.117055,0.76674,0.943444
0,0.112625,0.820099,0.872881
0,0,0.67004,0.844628
0,0.102248,0.708486,0.817686
0,0.117646,0.803277,0.867977
0,0.088712,0.764192,0.808793
0,0.107076,0.727885,0.866314
0,0.0766193,0.800945,0.820902
0,0.110037,0.656465,0.818453
0,0.0792192,0.750225,0.829399
0,0.153759,0.799673,0.824967
0,0.0411649,0.779258,0.846275
0,0.112976,0.73749,0.82256
0,0.035009,0.691191,0.847521
0,0.100057,0.747439,0.837757
0,0.160808,0.752377,0.769088
0,0.0875807,0.725027,0.79872
0,0.0877457,0.744538,0.871164
0,0.0800138,0.659462,0.795655
0,0.11993,0.690739,0.81297
0,0.146852,0.713675,0.8731
0,0.160171,0.734502,0.866481
0,0.0610704,0.678596,0.831927
0,0.112951,0.738781,0.824257
0,0.0859671,0.786713,0.858647
0,0.107492,0.74298,0.89029
0,0.059605,0.747985,0.828062
0,0.103459,0.786769,0.810683
0,0.0883309,0.743805,0.816456
0,0.156128,0.722768,0.901685
0,0.0974471,0.758897,0.876505
0,0.152518,0.787996,0.829745
0,0.0700851,0.793742,0.829481
0,0.0999197,0.766571,0.868887
0,0.0807312,0.730379,0.81382
0,0.171447,0.758817,0.866413
0,0.0668669,0.736675,0.802987
0,0.0928783,0.714736,0.852871
0,0.0876007,0.700742,0.781201
0,0.0549088,0.737557,0.779552
0,0.0872539,0.704116,0.869062
0,0.0809024,0.738336,0.875788
0,0.118826,0.751399,0.805157
0,0.0756851,0.771044,0.832876
0,0.0873708,0.732759,0.828574
0,0.0713455,0.71611,0.80452
0,0.093407,0.800232,0.833763
0,0.0756293,0.693386,0.828889
0,0.16887,0.727031,0.840179
0,0.0801408,0.663598,0.788224
0,0.191732,0.857001,0.803627
0,0.10469,0.718092,0.789262
